| text                                                                                                                                                                                                                                                                                                                                                                                                    |   Emotion |   EmotionalPolarity |   Empathy |
| Very interesting! Well it was nice talking to you! bye                                                                                                                                                                                                                                                                                                                                                  |         3 |                   1 |         1 |
| you too bye                                                                                                                                                                                                                                                                                                                                                                                             |         1 |                   1 |         1 |
| What did you think about this article                                                                                                                                                                                                                                                                                                                                                                   |         1 |                   1 |         1 |
| I always think stories of foster kids are pretty sad.                                                                                                                                                                                                                                                                                                                                                   |         2 |                   2 |         4 |
| I agree... it's such a bad system sometimes and it breaks my heart, cause they are kids                                                                                                                                                                                                                                                                                                                 |         2 |                   2 |         4 |
| Of course the kids make matters worse with delinquency, but that's not unexpected behavior considering their experiences.                                                                                                                                                                                                                                                                               |         3 |                   1 |         4 |
| Agreed, I'm sure he would be less likely to do that if he  had grown up in more stable conditions. It seems a lot of times the foster care system puts them in a situation that is just as bad or worse then where they wer ebefore                                                                                                                                                                     |         2 |                   1 |         3 |
| Yes, although even in good situations it sometimes doesn't work.  I knew an adopted boy and girl who'd come from a very violent background.  They destroyed the adoptive family they were brought into.  The damage had already been done to them as people.                                                                                                                                            |         2 |                   2 |         3 |
| Oh that's so sad... My neighbors did foster care a lot, and they were a great family. but man some of the kids you could tell had been through some shit and they were so angry.                                                                                                                                                                                                                        |         3 |                   1 |         4 |
| Yeah, bless the people who are willing to do that.  And I'm sure most have good intentions.  But it's definitely a tough situation for everyone.                                                                                                                                                                                                                                                        |         3 |                   0 |         4 |
| Agreed, I'm sure it would put a strain on any family or couple, especially if the kids are a handful                                                                                                                                                                                                                                                                                                    |         2 |                   1 |         3 |
| At least there was something of a silver lining in this story.                                                                                                                                                                                                                                                                                                                                          |         2 |                   0 |         3 |
| for sure! I just wish he could have been helped out more in the process, or for it to be easier on him                                                                                                                                                                                                                                                                                                  |         2 |                   1 |         3 |
| Yes, although I'd also go back to the mother and say the problem starts there. The mother (and probably father) were the first to let the kids down.                                                                                                                                                                                                                                                    |         3 |                   1 |         4 |
| Agreed.... I can't imagine being that kind of parent. i don't get people who are. But there seems to be so many                                                                                                                                                                                                                                                                                         |         3 |                   1 |         3 |
| Yes, unfortunately.  It's very easy to have children but not so easy to raise them well.                                                                                                                                                                                                                                                                                                                |         3 |                   2 |         2 |
| For sure... But it should be worth it to raise them well, it's your responsibility for having kids                                                                                                                                                                                                                                                                                                      |         2 |                   2 |         2 |
| Absolutely, I agree.  I think if you have children you owe them that.  And most people resent their parents enough you'd think they'd try harder with their own kids.  But few do.                                                                                                                                                                                                                      |         2 |                   1 |         2 |
| For sure... it seems everyone has parent problems, but then seem to end up parenting the same way                                                                                                                                                                                                                                                                                                       |         2 |                   0 |         3 |
| It's a strange phenomenon.  At least to me.  But we're often more creatures of habit and genetics and convenience than of thoughtful consideration and values.                                                                                                                                                                                                                                          |         2 |                   0 |         3 |
| That is a great way to phrase it... It's very interesting for sure. Especially when you have 18+years to change                                                                                                                                                                                                                                                                                         |         2 |                   0 |         3 |
| Do you have any children?                                                                                                                                                                                                                                                                                                                                                                               |         1 |                   1 |         1 |
| I don't, but my husband and I are trying                                                                                                                                                                                                                                                                                                                                                                |         2 |                   0 |         2 |
| Sounds fun.  I hope you're successful and you, your husband, and future children are all thankful for it.  I don't have kids and figure it's best for all parties involved that it stays that way.                                                                                                                                                                                                      |         3 |                   0 |         1 |
| thank you! haha my husband felt that way for a while... It's scary for  sure the thought of bringing another human into this world                                                                                                                                                                                                                                                                      |         3 |                   1 |         1 |
| Yes,it's certainly a big responsibility.  But I'm sure you'll do fine.                                                                                                                                                                                                                                                                                                                                  |         3 |                   0 |         1 |
| Thank you! I sure will try haha                                                                                                                                                                                                                                                                                                                                                                         |         2 |                   0 |         1 |
| Anyway, it's been nice chatting with you.  Hope you have a good day.  bye                                                                                                                                                                                                                                                                                                                               |         1 |                   0 |         1 |
| bye                                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         1 |
| What did you think of this?                                                                                                                                                                                                                                                                                                                                                                             |         1 |                   1 |         1 |
| this was so sad i never really thought of kids in foster care and how hard it was                                                                                                                                                                                                                                                                                                                       |         3 |                   2 |         4 |
| It is sad for them, no child should have to endure all that                                                                                                                                                                                                                                                                                                                                             |         3 |                   2 |         4 |
| agreed and not there fault they had behavioral issues                                                                                                                                                                                                                                                                                                                                                   |         3 |                   2 |         3 |
| well, yes and no.  we all have personal responsibility for our choices in my opinion.  regardless of circumstance                                                                                                                                                                                                                                                                                       |         2 |                   2 |         2 |
| They needed more direction and structure they didnt get in the system                                                                                                                                                                                                                                                                                                                                   |         3 |                   2 |         3 |
| yes they definitely did, it failed them                                                                                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         3 |
| it is nice he changed his life around and is helping others now                                                                                                                                                                                                                                                                                                                                         |         3 |                   0 |         3 |
| yes that was the best part of the article                                                                                                                                                                                                                                                                                                                                                               |         3 |                   0 |         3 |
| Yeah I did not expect that honestly                                                                                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         3 |
| yeah, to turn something good from something bad and now hes helping others                                                                                                                                                                                                                                                                                                                              |         3 |                   0 |         3 |
| Agreed, I hope eventually the system is fixed and structured better                                                                                                                                                                                                                                                                                                                                     |         2 |                   0 |         3 |
| yes it needs help, but i think there is a lack of good foster parents                                                                                                                                                                                                                                                                                                                                   |         3 |                   1 |         3 |
| yeah i know alot just do it for tax and write offs and are horrible caretakers to the kids                                                                                                                                                                                                                                                                                                              |         4 |                   1 |         3 |
| yeah exactly!!!  And then the kids are mistreated, so saf                                                                                                                                                                                                                                                                                                                                               |         4 |                   1 |         4 |
| I dont know how they do it so resiliant                                                                                                                                                                                                                                                                                                                                                                 |         3 |                   1 |         3 |
| Yeah the human soul has remarkable resilience                                                                                                                                                                                                                                                                                                                                                           |         3 |                   0 |         4 |
| true it is amazing to read about                                                                                                                                                                                                                                                                                                                                                                        |         2 |                   0 |         3 |
| Yes, and this was a pretty amazing, sad story with a good ending.  well I must go, have a good day.  goodbye                                                                                                                                                                                                                                                                                            |         3 |                   0 |         3 |
| great goodbye!                                                                                                                                                                                                                                                                                                                                                                                          |         1 |                   0 |         1 |
| What a story!                                                                                                                                                                                                                                                                                                                                                                                           |         3 |                   1 |         2 |
| yeah, lots of ups and downs in that one                                                                                                                                                                                                                                                                                                                                                                 |         3 |                   1 |         2 |
| It sounds like the system failed him at an early age                                                                                                                                                                                                                                                                                                                                                    |         2 |                   2 |         3 |
| unfortunately, i think stories like this are all too common with children who go through the foster system.                                                                                                                                                                                                                                                                                             |         3 |                   2 |         3 |
| For sure. Many fall  through the cracks and its so sad.                                                                                                                                                                                                                                                                                                                                                 |         3 |                   2 |         3 |
| it's really crazy that those two brothers ended up in the same prison                                                                                                                                                                                                                                                                                                                                   |         3 |                   2 |         3 |
| I know! What are the odds?                                                                                                                                                                                                                                                                                                                                                                              |         3 |                   1 |         2 |
| astronomical. Do you have any thoughts on how the foster system could be improved?                                                                                                                                                                                                                                                                                                                      |         3 |                   1 |         2 |
| I'd say have more oversight of individual cases. So many children arent getting the attention on their cases that they need. Do you have any suggestions?                                                                                                                                                                                                                                               |         2 |                   1 |         2 |
| I agree, I also think that counseling services should be provided by the state                                                                                                                                                                                                                                                                                                                          |         3 |                   0 |         3 |
| Absolutely. And also some sort of self sufficiency classes for those who are about to age out of the system                                                                                                                                                                                                                                                                                             |         3 |                   0 |         3 |
| I think we could all benefit from self sufficiency/life skills classes as teenagers.                                                                                                                                                                                                                                                                                                                    |         2 |                   0 |         3 |
| My school had them every week and I loved it. Learned a lot of life skills                                                                                                                                                                                                                                                                                                                              |         3 |                   0 |         1 |
| What kind of skills did you learn?                                                                                                                                                                                                                                                                                                                                                                      |         1 |                   1 |         1 |
| Sewing, vehicle maintenance, budgeting, childcare, basic home repairs, tax basics, etc.                                                                                                                                                                                                                                                                                                                 |         1 |                   0 |         1 |
| interesting, I don't think my high school offered classes like that. We had home economics, but that was primarily cooking and cleaning.                                                                                                                                                                                                                                                                |         2 |                   0 |         1 |
| I think all schools should offer classes like that. Theyre very beneficial                                                                                                                                                                                                                                                                                                                              |         2 |                   0 |         1 |
| Agreed. What did you think of the sibling that eventually got his masters and now helps kids in similar situations?                                                                                                                                                                                                                                                                                     |         2 |                   1 |         2 |
| I think its amazing how he turned his life around. A true inspiration                                                                                                                                                                                                                                                                                                                                   |         3 |                   0 |         3 |
| It's crazy how differently people react to similar circumstances. Thanks for chatting with me today. bye                                                                                                                                                                                                                                                                                                |         2 |                   0 |         2 |
| Great talking to you. Goodbye                                                                                                                                                                                                                                                                                                                                                                           |         1 |                   0 |         1 |
| Hello, what did you think about the article?                                                                                                                                                                                                                                                                                                                                                            |         1 |                   1 |         1 |
| I think it's sad that a kid would have to go through all that...                                                                                                                                                                                                                                                                                                                                        |         3 |                   2 |         4 |
| It's terrible! I feel so bad for the kid because he should be in school.                                                                                                                                                                                                                                                                                                                                |         4 |                   2 |         4 |
| Agreed, he should just be allowed to be a kid and not have to deal with all that                                                                                                                                                                                                                                                                                                                        |         3 |                   1 |         4 |
| He probably was terrified and is going to be scarred for life now..                                                                                                                                                                                                                                                                                                                                     |         4 |                   2 |         4 |
| Oh yah, he'll definitly have the trauma of it all to deal with the rest of his life                                                                                                                                                                                                                                                                                                                     |         3 |                   2 |         4 |
| Do you think jail can really change the kid for the better?                                                                                                                                                                                                                                                                                                                                             |         1 |                   1 |         2 |
| I think he needs therapy and guidance and  a stable home more so than punishment/jail                                                                                                                                                                                                                                                                                                                   |         2 |                   1 |         3 |
| I agree. I have a cousin that went to jail before for stealing and he's the same.                                                                                                                                                                                                                                                                                                                       |         2 |                   1 |         2 |
| Childhood tramua?                                                                                                                                                                                                                                                                                                                                                                                       |         1 |                   1 |         1 |
| Pretty much. He just hasn't improved for the better and jail didn't really help him                                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         1 |
| Yah and I bet that is the case for a lot of people... how sad                                                                                                                                                                                                                                                                                                                                           |         3 |                   2 |         3 |
| The kid should be out making friends and playing video games.. not rotting in jail                                                                                                                                                                                                                                                                                                                      |         3 |                   1 |         3 |
| I agree... It's so sad because he has already missed out on so so much of his childhood, and had it be horrible, and now this. He just needs a break and someone who actually cares about him                                                                                                                                                                                                           |         3 |                   2 |         3 |
| Hopefully he finds a girl he can marry that cares about him because his family doesnt                                                                                                                                                                                                                                                                                                                   |         3 |                   0 |         3 |
| I hope so too, and that he is able to hold a healthy relationship                                                                                                                                                                                                                                                                                                                                       |         3 |                   0 |         3 |
| It just makes you wonder how many other children are out there being put in cells..                                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         3 |
| Probably way too many                                                                                                                                                                                                                                                                                                                                                                                   |         2 |                   1 |         3 |
| Agreed. Well it was nice talking to you! bye                                                                                                                                                                                                                                                                                                                                                            |         1 |                   0 |         1 |
| you as well, bye                                                                                                                                                                                                                                                                                                                                                                                        |         1 |                   1 |         1 |
| I didn't know that coal mining had such adverse effects on the environment. No wonder everyone wants green energy so badly...                                                                                                                                                                                                                                                                           |         3 |                   2 |         2 |
| I feel bad for the people and the wild life.                                                                                                                                                                                                                                                                                                                                                            |         3 |                   2 |         5 |
| Yeah for sure. The people are going to get all sorts of health problems and the animals are so desperate for food that they are attacking humans.                                                                                                                                                                                                                                                       |         4 |                   2 |         5 |
| I can not believe how little they said they are going to pay the people for lost of land.                                                                                                                                                                                                                                                                                                               |         4 |                   2 |         4 |
| Yeah, it did seem little but Indians don't really make much money daily, compared to western countries.                                                                                                                                                                                                                                                                                                 |         2 |                   2 |         3 |
| That is true. I wonder what other animals besides the elephants are effected?                                                                                                                                                                                                                                                                                                                           |         2 |                   1 |         3 |
| I imagine it's every animal in the surroundings. It's just that only elephants are big and strong enough to do something about it.                                                                                                                                                                                                                                                                      |         2 |                   1 |         2 |
| It has to be really bad growing up next to the coal mine with the bad air quality.                                                                                                                                                                                                                                                                                                                      |         3 |                   2 |         3 |
| Yeah and the lack of water too. They spoke about their wells drying up.                                                                                                                                                                                                                                                                                                                                 |         3 |                   2 |         3 |
| Nothing seemed to be very regulated.                                                                                                                                                                                                                                                                                                                                                                    |         2 |                   2 |         2 |
| Maybe it's a matter of corruption? Since the officials didn't even make good on their promises regarding money for the land and work for one of the landowners sons.                                                                                                                                                                                                                                    |         2 |                   2 |         2 |
| Corruption and greed, but that is not just in India.                                                                                                                                                                                                                                                                                                                                                    |         3 |                   2 |         2 |
